6.67 4.98 6.40 5.09 5.17 2.75 2.64 2.37 2.68 1.85
3.77 4.08 4.29 6.79 3.73 2.10 2.12 2.32 2.07 1.14
25.00 8.33 8.33 5.56 3.70 0.00 2.94 3.33 13.04 14.29
0.00 0.00 20.00 0.00 0.00 0.00 14.29 5.88 0.00 0.00
3.23 7.44 7.33 7.06 4.87 1.74 2.19 2.64 2.28 1.44
0.00 5.00 7.69 2.27 1.85 0.00 2.08 0.00 4.55 14.29
0.00 15.15 7.59 9.19 7.72 3.42 3.43 5.08 3.77 0.69
0.00 0.00 0.00 9.09 0.00 0.00 20.00 0.00 0.00 22.22
75.00 76.60 66.28 66.48 59.17 15.94 32.61 42.97 32.17 32.39
0.00 0.00 0.00 25.00 0.00 0.00 5.56 0.00 0.00 14.29
0.00 0.00 0.00 5.41 2.33 2.83 0.00 0.00 0.00 0.00
1.15 6.64 6.41 6.90 4.90 2.41 2.81 2.55 2.56 1.34
66.67 55.56 36.36 27.73 20.93 5.63 10.34 10.20 11.56 11.20
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 16.67 0.00 8.33 0.00 0.00 0.00 14.29 0.00
7.32 4.96 7.63 7.68 6.56 2.34 3.38 1.87 2.37 1.48
0.00 3.77 4.88 9.73 3.54 2.88 1.68 1.59 2.01 2.82
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
6.67 3.17 4.82 5.38 5.52 1.95 2.49 1.71 1.55 1.27
0.00 0.00 0.00 16.67 0.00 0.00 15.38 7.69 0.00 25.00
0.00 2.38 2.60 6.11 4.85 2.51 0.62 2.20 0.83 1.48
5.26 5.80 4.10 7.22 4.51 2.62 2.89 2.81 2.24 0.80
0.00 9.52 28.57 15.62 9.09 7.14 9.09 4.92 5.26 11.54
0.00 16.67 25.00 8.33 6.45 0.00 5.26 11.11 10.00 0.00
0.00 0.00 0.00 10.20 2.43 1.80 0.00 0.00 0.00 0.00
0.00 0.00 6.67 5.56 0.00 0.00 0.00 7.69 0.00 40.00
