4.51 6.47 6.78 7.23 7.63 7.96 7.75 7.89 7.81 7.68
3.99 6.29 6.55 7.05 7.56 7.94 7.72 7.79 7.87 7.69
1.61 2.56 2.56 2.94 3.33 3.47 3.56 3.43 3.18 2.71
0.00 1.79 1.79 2.40 2.83 3.00 2.71 2.89 1.61 1.95
3.47 5.90 6.14 6.98 7.43 7.98 7.61 7.73 7.84 7.50
1.39 3.04 3.30 3.81 4.01 4.01 3.89 3.76 3.14 2.71
1.10 3.53 4.38 5.23 5.82 6.09 6.01 6.20 6.27 6.37
1.10 2.30 2.64 2.48 3.14 2.83 2.77 2.83 1.95 2.30
2.20 3.87 4.47 5.18 4.80 5.34 4.93 4.86 4.97 4.28
0.00 0.00 2.08 2.20 1.79 2.71 2.94 2.83 2.89 2.71
1.10 0.00 1.61 3.64 4.87 4.67 0.00 0.00 0.00 0.00
4.48 6.61 7.02 7.59 8.05 8.53 8.26 8.33 8.33 8.10
1.95 2.94 3.81 4.79 4.87 5.65 5.16 5.28 5.16 4.84
0.00 1.10 0.00 2.77 4.26 4.11 0.00 0.00 0.00 0.00
0.00 1.39 1.95 2.08 2.56 2.30 2.20 1.39 2.08 0.69
3.74 5.65 5.98 6.26 6.64 7.19 7.10 7.16 7.18 7.05
2.20 3.99 4.42 4.74 5.29 5.63 5.48 5.53 5.52 5.37
0.00 0.69 0.69 2.20 3.93 4.04 0.00 0.00 0.00 0.00
3.43 5.65 6.12 6.71 7.13 7.55 7.41 7.50 7.43 7.26
0.00 2.20 2.40 1.95 2.56 2.56 2.64 2.64 1.39 2.20
2.08 3.76 4.36 5.20 5.59 5.89 5.77 5.90 5.48 5.60
4.06 5.85 6.03 6.46 6.88 7.25 7.10 7.15 7.10 6.91
1.39 3.09 3.37 3.50 3.81 4.44 4.49 4.13 3.66 3.30
0.00 1.95 2.20 2.56 3.47 3.04 3.00 2.94 3.04 2.08
0.00 0.69 1.39 3.91 5.33 5.12 1.10 0.00 0.00 0.00
1.61 2.20 2.77 2.94 3.33 3.14 2.83 2.64 1.39 1.79
